
Project information
boar-tasks (698316)	watchify (329831)	Package Manager: NPM
RepoID: 342569
Tag information:
CommitInfo{repo='GitHub', hash='f680a8bf0d60d36168b07976333a34be59735dac', version='v0.1.1'}
ProjectVersionFixed(version=2.4.0, dependency=3.2.2, time=2015-07-27 10:45:48 UTC),	Latest, "DependencyVersion(version=3.3.0, time=2015-07-18 03:59:24 UTC)"

ProjectVersionFixed(version=2.5.0, dependency=3.2.2, time=2015-07-30 14:21:34 UTC),	Latest, "DependencyVersion(version=3.3.1, time=2015-07-29 19:21:19 UTC)"

ProjectVersionFixed(version=2.5.1, dependency=3.2.2, time=2015-07-30 14:23:35 UTC),	Latest, "DependencyVersion(version=3.3.1, time=2015-07-29 19:21:19 UTC)"

ProjectVersionFixed(version=2.5.2, dependency=3.2.2, time=2015-07-30 14:40:20 UTC),	Latest, "DependencyVersion(version=3.3.1, time=2015-07-29 19:21:19 UTC)"

ProjectVersionFixed(version=2.5.3, dependency=3.2.2, time=2015-07-30 14:50:23 UTC),	Latest, "DependencyVersion(version=3.3.1, time=2015-07-29 19:21:19 UTC)"

ProjectVersionFixed(version=2.5.4, dependency=3.2.2, time=2015-07-30 16:08:50 UTC),	Latest, "DependencyVersion(version=3.3.1, time=2015-07-29 19:21:19 UTC)"

ProjectVersionFixed(version=2.5.5, dependency=3.2.2, time=2015-07-30 16:32:01 UTC),	Latest, "DependencyVersion(version=3.3.1, time=2015-07-29 19:21:19 UTC)"

ProjectVersionFixed(version=2.5.6, dependency=3.2.2, time=2015-08-04 10:06:03 UTC),	Latest, "DependencyVersion(version=3.3.1, time=2015-07-29 19:21:19 UTC)"

ProjectVersionFixed(version=2.6.0, dependency=3.3.1, time=2015-08-08 08:37:52 UTC),	Latest, "null"

ProjectVersionFixed(version=2.7.0, dependency=3.3.1, time=2015-08-17 08:57:58 UTC),	Latest, "null"

ProjectVersionFixed(version=2.8.0, dependency=3.3.1, time=2015-08-19 08:47:16 UTC),	Latest, "null"

ProjectVersionFixed(version=2.9.0, dependency=3.3.1, time=2015-08-24 09:59:08 UTC),	Latest, "null"

ProjectVersionFixed(version=2.10.0, dependency=3.3.1, time=2015-09-21 18:05:57 UTC),	Latest, "DependencyVersion(version=3.4.0, time=2015-09-02 04:02:45 UTC)"

ProjectVersionFixed(version=2.10.1, dependency=3.3.1, time=2015-09-24 11:45:30 UTC),	Latest, "DependencyVersion(version=3.4.0, time=2015-09-02 04:02:45 UTC)"

ProjectVersionFixed(version=2.11.0, dependency=3.3.1, time=2015-10-02 07:43:46 UTC),	Latest, "DependencyVersion(version=3.4.0, time=2015-09-02 04:02:45 UTC)"

ProjectVersionFixed(version=2.12.0, dependency=3.3.1, time=2015-10-05 11:16:17 UTC),	Latest, "DependencyVersion(version=3.4.0, time=2015-09-02 04:02:45 UTC)"

ProjectVersionFixed(version=2.13.0, dependency=3.3.1, time=2015-10-13 09:23:43 UTC),	Latest, "DependencyVersion(version=3.4.0, time=2015-09-02 04:02:45 UTC)"

ProjectVersionFixed(version=2.14.0, dependency=3.3.1, time=2016-03-25 12:29:47 UTC),	Latest, "DependencyVersion(version=3.7.0, time=2016-01-09 20:35:46 UTC)"


Project B:
DependencyVersion(version=0.0.0, time=2013-05-30 08:56:03 UTC)
DependencyVersion(version=0.0.1, time=2013-05-30 13:44:28 UTC)
DependencyVersion(version=0.1.0, time=2013-07-04 03:58:42 UTC)
DependencyVersion(version=0.10.0, time=2014-05-14 22:33:14 UTC)
