DependencyVersion(version=1.22.2, time=2015-10-14 21:09:16 UTC)
DependencyVersion(version=1.23.0, time=2015-10-29 18:48:06 UTC)
DependencyVersion(version=1.23.1, time=2015-11-05 23:43:22 UTC)
DependencyVersion(version=1.24.0, time=2015-11-18 22:29:51 UTC)
DependencyVersion(version=1.24.1, time=2015-12-30 21:59:18 UTC)
DependencyVersion(version=1.25.0, time=2016-01-20 18:05:46 UTC)
DependencyVersion(version=1.25.1, time=2016-01-26 22:06:03 UTC)
DependencyVersion(version=1.25.2, time=2016-02-17 22:06:03 UTC)
DependencyVersion(version=1.25.3, time=2016-02-18 18:13:20 UTC)
DependencyVersion(version=1.25.4, time=2016-02-24 22:10:34 UTC)
DependencyVersion(version=1.25.5, time=2016-03-09 19:05:36 UTC)
DependencyVersion(version=1.26.0, time=2016-03-23 21:28:16 UTC)
DependencyVersion(version=1.26.1, time=2016-03-31 18:15:26 UTC)
DependencyVersion(version=1.26.2, time=2016-04-07 18:09:00 UTC)
DependencyVersion(version=1.27.0, time=2016-04-21 21:34:50 UTC)
DependencyVersion(version=1.27.1, time=2016-05-03 18:05:28 UTC)
DependencyVersion(version=1.27.2, time=2016-05-05 21:00:09 UTC)
DependencyVersion(version=1.28.0, time=2016-05-25 21:16:52 UTC)
DependencyVersion(version=1.28.1, time=2016-06-15 18:13:29 UTC)
DependencyVersion(version=1.28.2, time=2016-07-07 21:05:06 UTC)
DependencyVersion(version=1.28.3, time=2016-07-14 21:12:54 UTC)
DependencyVersion(version=1.29.0, time=2016-08-03 22:04:38 UTC)
DependencyVersion(version=1.3.0, time=2014-01-18 00:39:57 UTC)
DependencyVersion(version=1.30.0, time=2016-08-25 21:03:22 UTC)
DependencyVersion(version=1.30.1, time=2016-09-01 21:59:23 UTC)
DependencyVersion(version=1.30.2, time=2016-09-13 22:18:13 UTC)
DependencyVersion(version=1.30.3, time=2016-09-14 20:57:06 UTC)
DependencyVersion(version=1.30.4, time=2016-09-27 21:38:26 UTC)
DependencyVersion(version=1.30.5, time=2016-10-04 21:15:12 UTC)
DependencyVersion(version=1.3.1, time=2014-02-01 02:35:17 UTC)
DependencyVersion(version=1.31.0, time=2016-10-12 23:01:56 UTC)
DependencyVersion(version=1.3.2, time=2014-02-14 00:21:28 UTC)
DependencyVersion(version=1.32.0, time=2016-10-20 22:07:02 UTC)
DependencyVersion(version=1.33.0, time=2016-10-31 21:25:54 UTC)
DependencyVersion(version=1.34.0, time=2016-11-11 00:09:48 UTC)
DependencyVersion(version=1.35.0, time=2016-12-12 21:37:01 UTC)
DependencyVersion(version=1.35.1, time=2016-12-13 20:16:21 UTC)
DependencyVersion(version=1.36.0, time=2016-12-21 22:12:02 UTC)
DependencyVersion(version=1.36.1, time=2017-01-12 18:18:03 UTC)
DependencyVersion(version=1.36.2, time=2017-01-26 22:05:48 UTC)
DependencyVersion(version=1.37.0, time=2017-02-09 18:53:48 UTC)
DependencyVersion(version=1.37.1, time=2017-02-16 23:02:02 UTC)
DependencyVersion(version=1.37.2, time=2017-02-17 00:05:51 UTC)
DependencyVersion(version=1.38.0, time=2017-03-16 21:28:30 UTC)
DependencyVersion(version=1.38.1, time=2017-03-17 23:42:20 UTC)
DependencyVersion(version=1.38.2, time=2017-03-30 19:05:13 UTC)
DependencyVersion(version=1.39.0, time=2017-05-02 21:56:19 UTC)
DependencyVersion(version=1.39.1, time=2017-05-11 21:04:24 UTC)
DependencyVersion(version=1.4.0, time=2014-03-14 22:22:32 UTC)
DependencyVersion(version=1.40.0, time=2017-06-07 17:59:12 UTC)
DependencyVersion(version=1.5.0, time=2014-04-11 21:22:43 UTC)
DependencyVersion(version=1.5.1, time=2014-04-18 22:16:51 UTC)
DependencyVersion(version=1.5.2, time=2014-04-24 22:34:47 UTC)
DependencyVersion(version=1.5.3, time=2014-05-01 20:31:10 UTC)
DependencyVersion(version=1.5.4, time=2014-05-08 20:46:33 UTC)
DependencyVersion(version=1.5.5, time=2014-05-15 22:53:53 UTC)
DependencyVersion(version=1.6.0, time=2014-05-22 22:24:17 UTC)
DependencyVersion(version=1.7.0, time=2014-05-29 23:24:03 UTC)
DependencyVersion(version=1.7.1, time=2014-06-05 22:40:28 UTC)
DependencyVersion(version=1.7.2, time=2014-06-13 23:29:04 UTC)
DependencyVersion(version=1.7.3, time=2014-06-20 13:26:20 UTC)
DependencyVersion(version=1.7.4, time=2014-06-26 21:09:10 UTC)
DependencyVersion(version=1.7.5, time=2014-07-02 23:29:02 UTC)
DependencyVersion(version=1.8.0, time=2014-07-11 21:48:19 UTC)
DependencyVersion(version=1.8.1, time=2014-07-18 23:18:39 UTC)
DependencyVersion(version=1.9.0, time=2014-07-25 00:28:24 UTC)
DependencyVersion(version=1.9.1, time=2014-07-31 01:09:55 UTC)
DependencyVersion(version=1.9.2, time=2014-08-08 23:40:48 UTC)
DependencyVersion(version=2.0.0, time=2017-07-18 19:51:27 UTC)
DependencyVersion(version=2.0.1, time=2017-07-25 21:22:18 UTC)
DependencyVersion(version=2.0.2, time=2017-08-01 20:32:06 UTC)
DependencyVersion(version=2.1.0, time=2017-08-08 18:29:00 UTC)
DependencyVersion(version=2.2.0, time=2017-08-23 18:47:08 UTC)
DependencyVersion(version=2.2.1, time=2017-09-11 21:08:43 UTC)
DependencyVersion(version=2.2.2, time=2017-09-26 21:42:22 UTC)
DependencyVersion(version=2.3.0, time=2017-10-16 20:42:17 UTC)
DependencyVersion(version=2.3.1, time=2017-10-24 18:14:23 UTC)
DependencyVersion(version=2.3.2, time=2017-11-02 18:32:53 UTC)
DependencyVersion(version=2.4.0, time=2017-11-15 18:34:57 UTC)
DependencyVersion(version=2.4.1, time=2017-11-28 21:11:29 UTC)
DependencyVersion(version=2.4.2, time=2017-12-12 19:12:02 UTC)
DependencyVersion(version=2.5.0, time=2018-01-03 21:01:34 UTC)
DependencyVersion(version=2.6.0, time=2018-01-10 19:50:34 UTC)
DependencyVersion(version=2.6.1, time=2018-01-18 20:56:47 UTC)
DependencyVersion(version=2.7.0, time=2018-02-01 18:35:25 UTC)
DependencyVersion(version=2.7.1, time=2018-02-09 18:17:23 UTC)
DependencyVersion(version=2.8.0, time=2018-02-21 17:42:06 UTC)
DependencyVersion(version=2.9.0, time=2018-02-27 21:05:05 UTC)
DependencyVersion(version=2.9.1, time=2018-03-05 19:07:02 UTC)
DependencyVersion(version=3.0.0, time=2018-03-07 20:52:39 UTC)
DependencyVersion(version=3.1.0, time=2018-03-13 22:10:14 UTC)
DependencyVersion(version=3.2.0, time=2018-03-14 19:37:48 UTC)
DependencyVersion(version=3.3.0, time=2018-03-27 22:02:30 UTC)
DependencyVersion(version=3.3.1, time=2018-04-10 23:49:53 UTC)
DependencyVersion(version=4.0.0, time=2018-04-12 18:41:47 UTC)
DependencyVersion(version=4.1.0, time=2018-04-23 22:01:13 UTC)
DependencyVersion(version=4.10.0, time=2018-11-01 21:45:26 UTC)
DependencyVersion(version=4.1.1, time=2018-05-15 20:33:13 UTC)
DependencyVersion(version=4.11.0, time=2018-11-15 20:31:38 UTC)
DependencyVersion(version=4.1.2, time=2018-05-22 21:07:20 UTC)
DependencyVersion(version=4.12.0, time=2018-12-03 19:07:15 UTC)
DependencyVersion(version=4.1.3, time=2018-05-29 22:20:04 UTC)
DependencyVersion(version=4.13.0, time=2018-12-20 20:29:36 UTC)
DependencyVersion(version=4.1.4, time=2018-06-04 20:46:01 UTC)
DependencyVersion(version=4.1.5, time=2018-06-11 19:37:23 UTC)
DependencyVersion(version=4.2.0, time=2018-06-19 21:33:51 UTC)
DependencyVersion(version=4.2.1, time=2018-07-02 19:04:39 UTC)
DependencyVersion(version=4.3.0, time=2018-07-09 18:28:46 UTC)
DependencyVersion(version=4.4.0, time=2018-07-12 17:48:27 UTC)
DependencyVersion(version=4.5.0, time=2018-07-16 18:02:28 UTC)
DependencyVersion(version=4.5.1, time=2018-07-19 00:06:55 UTC)
DependencyVersion(version=4.6.0, time=2018-07-24 18:21:26 UTC)
DependencyVersion(version=4.7.0, time=2018-07-31 17:59:09 UTC)
DependencyVersion(version=4.8.0, time=2018-08-13 19:54:21 UTC)
DependencyVersion(version=4.8.1, time=2018-08-27 20:39:54 UTC)
DependencyVersion(version=4.9.0, time=2018-10-01 20:45:42 UTC)
