DependencyVersion(version=2.0.5-alpha-gphd-2.1.1.0, time=2013-11-12 11:03:20 UTC)
DependencyVersion(version=2.0.6-alpha, time=2013-08-10 23:43:30 UTC)
DependencyVersion(version=2.1.0-beta, time=2013-08-15 20:57:00 UTC)
DependencyVersion(version=2.1.0-cdh5.0.0-beta-1, time=2013-10-07 17:40:48 UTC)
DependencyVersion(version=2.1.1-beta, time=2013-09-17 06:26:22 UTC)
DependencyVersion(version=2.2.0, time=2013-10-07 06:36:59 UTC)
DependencyVersion(version=2.2.0.2.0.11.0-1, time=2014-11-25 22:50:31 UTC)
DependencyVersion(version=2.2.0.2.0.13.0-43, time=2015-01-22 23:53:56 UTC)
DependencyVersion(version=2.2.0.2.0.6.0-76, time=2014-02-21 02:46:07 UTC)
DependencyVersion(version=2.2.0-cdh5.0.0-beta-1, time=2013-10-18 07:03:36 UTC)
DependencyVersion(version=2.2.0-cdh5.0.0-beta-2, time=2014-02-07 00:39:54 UTC)
DependencyVersion(version=2.2.0-gphd-3.0.1.0, time=2014-04-13 19:54:18 UTC)
DependencyVersion(version=2.2.0-gphd-3.1.0.0, time=2014-07-03 03:07:28 UTC)
DependencyVersion(version=2.3.0, time=2014-02-11 14:05:33 UTC)
DependencyVersion(version=2.3.0-cdh5.0.0, time=2014-03-20 19:56:51 UTC)
DependencyVersion(version=2.3.0-cdh5.0.1, time=2014-05-02 00:27:43 UTC)
DependencyVersion(version=2.3.0-cdh5.0.2, time=2014-06-02 23:05:52 UTC)
DependencyVersion(version=2.3.0-cdh5.0.3, time=2014-07-08 21:05:28 UTC)
DependencyVersion(version=2.3.0-cdh5.0.4, time=2014-08-25 19:24:40 UTC)
DependencyVersion(version=2.3.0-cdh5.0.5, time=2014-11-06 02:12:39 UTC)
DependencyVersion(version=2.3.0-cdh5.0.6, time=2015-03-20 00:55:15 UTC)
DependencyVersion(version=2.3.0-cdh5.1.0, time=2014-07-12 00:44:45 UTC)
DependencyVersion(version=2.3.0-cdh5.1.2, time=2014-08-26 01:45:09 UTC)
DependencyVersion(version=2.3.0-cdh5.1.3, time=2014-09-16 00:17:11 UTC)
DependencyVersion(version=2.3.0-cdh5.1.4, time=2014-11-06 00:03:10 UTC)
DependencyVersion(version=2.3.0-cdh5.1.5, time=2015-03-20 02:29:26 UTC)
DependencyVersion(version=2.4.0, time=2014-03-31 08:42:24 UTC)
DependencyVersion(version=2.4.0.2.1.7.0-784, time=2014-12-19 21:38:41 UTC)
DependencyVersion(version=2.4.1, time=2014-06-21 06:20:04 UTC)
DependencyVersion(version=2.5.0, time=2014-08-06 20:17:39 UTC)
