Project, Dependency, ProjName, DepName
3424292,3424282,SiteTriks.Dynamic,SiteTriks.DatabaseApi
3424292,3424283,SiteTriks.Dynamic,SiteTriks.Data
1032818,1013547,paper-elements,paper-toast
1573424,1031723,Microsoft.VisualStudio.Shell.Framework-pre,Microsoft.VisualStudio.Utilities
1813794,1968460,Carbon.Platform.Services,Carbon.Data.Sql
2563591,3368207,Syncfusion.Xamarin.SfNavigationDrawer,Syncfusion.Licensing
1015990,1010911,JetBrains.Platform.Standalone.Ide,JetBrains.Platform.Lib.ActiPro.Shell
622561,624085,Microsoft.AspNet.Identity.Owin.ru,Microsoft.AspNet.Identity.Owin
2601780,611504,Insight.Database.Providers.MySqlConnector,Insight.Database.Core
1217369,1059251,PInvoke.NTDll,PInvoke.Kernel32
2563590,3368207,Syncfusion.Xamarin.SfPicker.IOS,Syncfusion.Licensing
1573422,1031723,Microsoft.VisualStudio.Shell.Framework,Microsoft.VisualStudio.Utilities
2521106,1015240,Terradue.News,Terradue.OpenSearch.Twitter
1032407,1026200,System.Reflection.Emit,System.IO
2563589,3368207,Syncfusion.Xamarin.SfNumericUpDown,Syncfusion.Licensing
1015911,1013301,BanklinksDotNet.EstcardProvider,BanklinksDotNet
1011605,622453,ServiceStack.HttpClient,ServiceStack.Client
3364788,2123365,YoutubeExplode.Converter,YoutubeExplode
1015520,1025380,Blue.Boot,Blue.Boot.Lib
2563588,3368207,Syncfusion.Xamarin.SfMaps.IOS,Syncfusion.Licensing
622386,629567,NetOffice.MSProject,NetOffice.Core
1032349,1027946,Microsoft.Orleans.OrleansAzureUtils,Microsoft.Orleans.Core
2563587,3368207,Syncfusion.Xamarin.SfPullToRefresh.IOS,Syncfusion.Licensing
1228816,1228812,UpperSetting.OpenServer.Protocols.DatabaseAuth.Client,UpperSetting.OpenServer.Protocols.DatabaseAuth.Shared
1518774,628594,Selenium.WebDriver.WaitExtensions,Selenium.Support
1079413,617361,WebSharper.Testing,WebSharper
1824270,1643803,Carbon.Git,Carbon.Packaging
1032276,1030164,Leadbox.CRM,Leadbox.Infrastructure
1573418,1031723,Microsoft.VisualStudio.Shell.15.0-pre,Microsoft.VisualStudio.Utilities
2563586,3368207,Syncfusion.Xamarin.SfNumericUpDown.IOS,Syncfusion.Licensing
3409393,3362069,Volo.Abp.EntityFrameworkCore.PostgreSql,Volo.Abp.EntityFrameworkCore
2398088,2207199,Wikiled.Sentiment.Analysis,Wikiled.Redis
2398088,2207200,Wikiled.Sentiment.Analysis,Wikiled.Arff
622804,616782,Microsoft.CrmSdk.XrmTooling.WpfControls,Microsoft.CrmSdk.XrmTooling.CoreAssembly
1605748,1602240,NequeoWebMvc,NequeoCollections
2563585,3368207,Syncfusion.Xamarin.SfListView,Syncfusion.Licensing
1015260,1033337,Brevitee.Automation,Brevitee.Schema.Org
1033017,1007131,Microsoft.Kinect.Fusion.x64,Microsoft.Kinect
2563584,3368207,Syncfusion.Xamarin.SfPullToRefresh,Syncfusion.Licensing
3400656,1535024,NFramework.AspNetCore,NFramework
3424276,3424285,SiteTriks.SiteMapModule,SiteTriks
1605798,1602296,NequeoWpf,NequeoThreading
3424276,3424287,SiteTriks.SiteMapModule,SiteTriks.Services
1605690,1605647,AlphaMS.Core.Config,AlphaMS.Core.Common
1016413,1522867,Xamarin.GooglePlayServices.Cast,Xamarin.GooglePlayServices.Tasks
3424276,3424283,SiteTriks.SiteMapModule,SiteTriks.Data
1333194,615719,Google.Storage.V1,Google.Apis
2605599,2588452,TrackableEntities.EF.Core,TrackableEntities.Common.Core
3424277,3424285,SiteTriks.RssFeedModule,SiteTriks
1605691,1605643,NequeoDrawingDocument,NequeoDrawing
3424277,3424287,SiteTriks.RssFeedModule,SiteTriks.Services
1015927,1013611,Minion.Sitecore.StandardTemplate,Minion.Sitecore
2441301,2438721,Cql.Core.Owin.Identity,Cql.Core.Web
3424277,3424290,SiteTriks.RssFeedModule,SiteTriks.Extensions
616542,2384382,jsreport.MVC,jsreport.Shared
3424277,3424282,SiteTriks.RssFeedModule,SiteTriks.DatabaseApi
3424277,3424283,SiteTriks.RssFeedModule,SiteTriks.Data
1011992,611294,CSIRO.Metaheuristics.Tests,CSIRO.Metaheuristics.Logging
1016032,1010322,Jdart.CoreApp.Unity,Jdart.CoreApp
1962695,1024485,Abp.RedisCache.ProtoBuf,Abp.RedisCache
2342913,2342914,Lykke.MatchingEngineConnector,Lykke.MatchingEngineConnector.Abstractions
1015293,1033227,BitnetClientLibraries.SDK.Sample,BitnetClientLibraries.SDK
1605798,1602392,NequeoWpf,NequeoPrimitive
2127754,626148,NHibernate.Json,NHibernate
1605798,1602393,NequeoWpf,NequeoReflection
3447453,608535,Xamarin.Forms.InputKit,Xamarin.Forms
1011659,621565,ImageProcessor.Web.Plugins.AzureBlobCache,ImageProcessor.Web.Config
2277382,2277390,Paramore.Darker.Testing,Paramore.Darker
2567756,615719,Google.Apis.Digitalassetlinks.v1,Google.Apis
1032718,1017243,BreezeLib.Azure,BreezeLib
626340,1032102,xunit.core,xunit.extensibility.execution
2277383,2277390,Paramore.Darker.LightInject,Paramore.Darker
618891,1787321,Machine.Specifications.Should,Machine.Specifications
2277380,2277390,Paramore.Darker.QueryLogging,Paramore.Darker
3424275,3424283,SiteTriks.SiteSync,SiteTriks.Data
3424275,3424285,SiteTriks.SiteSync,SiteTriks
3424275,3424286,SiteTriks.SiteSync,SiteTriks.Configuration
3424275,3424287,SiteTriks.SiteSync,SiteTriks.Services
3424275,3424278,SiteTriks.SiteSync,SiteTriks.Infrastructure
3424275,3424282,SiteTriks.SiteSync,SiteTriks.DatabaseApi
2277381,2277390,Paramore.Darker.SimpleInjector,Paramore.Darker
2567755,615719,Google.Apis.DLP.v2beta2,Google.Apis
3424275,3424292,SiteTriks.SiteSync,SiteTriks.Dynamic
3424284,3424285,SiteTriks.BlogModule,SiteTriks
1605682,1605643,NequeoForms,NequeoDrawing
3424284,3424287,SiteTriks.BlogModule,SiteTriks.Services
1573418,1033438,Microsoft.VisualStudio.Shell.15.0-pre,Microsoft.VisualStudio.Shell.Interop
3424285,3424278,SiteTriks,SiteTriks.Infrastructure
1011605,623086,ServiceStack.HttpClient,ServiceStack.Interfaces
2523151,2523121,OYASAR.Framework.EF,OYASAR.Framework.Core
3424285,3424282,SiteTriks,SiteTriks.DatabaseApi
3424285,3424283,SiteTriks,SiteTriks.Data
1032196,1033316,Maxomedia.Core.Mvc,Maxomedia.Core.Common
2520512,2604943,Olive.Entities.Data,Olive.Audit
2375734,2374434,DigitalParadox.Plugins.Loader,DigitalParadox.Utilities.AssemblyLoader
2528650,3401233,Reusable.SmartConfig.SqlServer,Reusable.SmartConfig
3424285,3424286,SiteTriks,SiteTriks.Configuration
3424285,3424287,SiteTriks,SiteTriks.Services
3424285,3424290,SiteTriks,SiteTriks.Extensions
3424285,3424292,SiteTriks,SiteTriks.Dynamic
1589301,1589197,Tolitech.Modules.Base.Data,Tolitech.Modules.Base.Domain
2359310,2359310,JYM.Infrastructure.IAssetCenter,JYM.Infrastructure.IAssetCenter
2528649,3401237,Reusable.OmniLog,Reusable.Flexo
2359314,2359200,Net.Chdk.Meta.Model.Camera,Net.Chdk.Json
3424287,3424283,SiteTriks.Services,SiteTriks.Data
3424287,3424286,SiteTriks.Services,SiteTriks.Configuration
3407903,3407900,Reusable.sdk.Mailr,Reusable.sdk.Http
3424287,3424278,SiteTriks.Services,SiteTriks.Infrastructure
2556020,2552695,Eventure.EventStore.Ef.Npgsql,Eventure
2528648,3401233,Reusable.SmartConfig.AppConfig,Reusable.SmartConfig
3424287,3424290,SiteTriks.Services,SiteTriks.Extensions
2359311,2359323,Polygon.Connector.IB,Polygon.Connector
3424287,3424292,SiteTriks.Services,SiteTriks.Dynamic
3424288,3424283,SiteTriks.ECommerseModule,SiteTriks.Data
3424288,3424285,SiteTriks.ECommerseModule,SiteTriks
3424288,3424287,SiteTriks.ECommerseModule,SiteTriks.Services
1011715,619575,CacheCow.Server.EntityTagStore.Redis,CacheCow.Server
3424280,3424290,SiteTriks.DocumentationModule,SiteTriks.Extensions
