numVersA,numVersB,numDistinctDepDecs,avgMajorVersBehind,avgMinorVersBehind,avgMicroVersBehind,numMajorDecChanges,numMinorDecChanges,numMicroDecChanges,numBackwardsDecChanges,
org.http4s:http4s-json4s-jackson_2.10::org.specs2:specs2-matcher-extra_2.10,131,162,7,0,0.395833,1.666667,0,22,25,23
org.apereo.cas:cas-server-support-oidc-core::org.hibernate:hibernate-entitymanager,56,153,13,0,0.333333,2.314815,0,2,39,20
org.craftercms:crafter-core::org.springframework:spring-web,54,66,1,0,2.15625,5.6875,0,0,0,0
au.com.dius:pact-jvm-consumer-junit_2.10::org.mockito:mockito-core,68,258,2,1,0.774194,0,0,11,0,6
org.apereo.cas:cas-server-support-saml-idp-core::com.fasterxml.jackson.datatype:jackson-datatype-guava,56,89,10,0,0.342105,1.657895,0,15,9,13
org.apereo.cas:cas-server-support-oidc-core::org.springframework:spring-webmvc,56,75,16,0.510204,0,1.285714,0,0,40,20
org.grails:grails-plugin-domain-class::org.codehaus.groovy:groovy,114,163,11,0.034483,0.258621,0.310345,0,0,35,16
org.neo4j:neo4j-cypher::org.neo4j:neo4j-primitive-collections,231,119,1,0,0,0,0,0,0,0
org.apereo.cas:cas-server-support-ldap::org.springframework:spring-web,58,66,12,0,0,1.428571,0,2,16,10
org.apereo.cas:cas-server-support-oauth-core::org.springframework.data:spring-data-commons,58,69,4,0.6875,0,4.40625,0,0,16,8
org.jresearch.commons.gwt:org.jresearch.commons.gwt.test::org.springframework:spring-orm,171,81,14,0.087719,0.011696,0.54386,16,14,44,39
org.crazyyak.dev:yak-dev-couchace::org.testng:testng,66,69,1,0,5,0,0,0,0,0
org.grails:grails-datastore-gorm-mongodb::org.grails:grails-datastore-gorm-plugin-support,60,51,4,0,0,0,0,1,2,1
org.realityforge.replicant:replicant-client-common::org.realityforge.arez:arez-core,53,110,7,0,3.2,0,0,9,0,4
org.http4s:http4s-core_2.11::org.scala-lang:scala-compiler,161,76,2,0,1.731343,0.149254,0,0,22,11
org.apereo.cas:cas-server-support-validation::org.mockito:mockito-core,57,258,12,0.307692,2.057692,0.019231,16,20,0,17
jp.vmi:selenese-runner-java::io.netty:netty,78,70,10,1,0.676471,0.044118,0,4,25,12
org.redisson:redisson::de.ruedigermoeller:fst,137,85,6,0,1.807018,0,0,58,0,27
com.mysema.querydsl:querydsl-jdoql::org.datanucleus:datanucleus-core,144,157,3,0.779528,0.314961,0.889764,22,0,2,12
org.apereo.cas:cas-server-support-saml::org.springframework:spring-context,58,74,12,0,0,0.69697,0,0,25,12
org.apereo.cas:cas-server-core-api-ticket::org.springframework:spring-aop,58,81,11,0.677419,0,0.677419,0,0,22,11
org.apereo.cas:cas-server-core-api-web::org.hibernate:hibernate-entitymanager,58,153,10,0,0.472222,1.138889,0,2,23,12
com.hazelcast:hazelcast::org.mockito:mockito-core,152,258,1,0,3,1,0,0,0,0
com.netflix.genie:genie-web::com.sun.jersey:jersey-json,73,58,2,0,7.714286,0.857143,0,1,0,0
org.datanucleus:datanucleus-accessplatform-jdo-excel::org.datanucleus:datanucleus-excel,95,70,8,0.296875,0.0625,0,14,14,1,12
org.apereo.cas:cas-server-support-oauth-core::org.springframework:spring-orm,58,81,11,0.677419,0,0.677419,0,0,21,10
com.fasterxml.jackson.jaxrs:jackson-jaxrs-xml-provider::com.fasterxml.jackson.core:jackson-databind,91,110,1,0,0,0,0,0,0,0
com.epam.jdi:jdi-uitest-cucumber::com.epam.jdi:jdi-uitest-web,86,106,2,0,0,2.333333,0,0,2,1
org.apereo.cas:cas-server-core::org.springframework:spring-orm,53,81,17,0.46,0.02,1.28,0,2,39,21
com.cedarsoftware:n-cube::org.codehaus.groovy:groovy-all,280,150,12,0.004525,0.361991,0.171946,0,2,78,37
org.apereo.cas:cas-server-support-validation::org.springframework:spring-tx,57,84,22,0.5,0.019231,1.134615,2,2,41,20
org.realityforge.react4j:react4j-arez::org.testng:testng,77,69,1,0,0.1875,0,0,0,0,0
net.bull.javamelody:javamelody-core::org.springframework:spring-web,66,66,1,0,0,0.857143,0,0,0,0
com.netflix.priam:priam::com.sun.jersey.contribs:jersey-multipart,121,58,2,0,0,0.340426,0,0,8,4
org.apereo.cas:cas-server-core::org.springframework:spring-jms,53,85,16,0.489796,0,1.326531,0,0,41,21
org.gitlab4j:gitlab4j-api::org.mockito:mockito-core,120,258,1,0,2.3,0.9,0,0,0,0
org.neo4j.app:neo4j-server::com.sun.jersey:jersey-server,213,58,1,0,5.428571,1,0,0,0,0
net.sf.jabb:jabb-core::com.vaadin:vaadin-server,115,118,1,0,1.886792,4.622642,0,0,0,0
org.apereo.cas:cas-server-core-api-services::org.springframework:spring-jdbc,58,89,22,0.464286,0.017857,1.142857,2,2,44,22
com.netflix.genie:genie-web::com.sun.jersey.contribs:jersey-apache-client4,73,52,1,0,9.25,0,0,0,0,0
org.apereo.cas:cas-server-support-jdbc-drivers::com.fasterxml.jackson.datatype:jackson-datatype-guava,56,89,9,0,0.264706,1.823529,0,10,10,11
ch.ralscha:extdirectspring::org.springframework:spring-test,50,61,4,0,0,0.3,0,0,3,0
org.apereo.cas:cas-server-support-saml::org.javers:javers-core,58,178,1,0,1,1,0,0,0,0
org.scalikejdbc:scalikejdbc-core_2.10::org.hibernate:hibernate-core,64,171,21,0.078125,0.171875,0.421875,27,6,23,24
org.apereo.cas:cas-server-core-api-authentication::org.springframework:spring-test,58,61,12,0,0,1.393939,0,2,18,11
com.netflix.genie:genie-common::com.sun.jersey:jersey-bundle,94,94,1,0,8.25,0,0,0,0,0
org.hibernate:hibernate-tools::com.sun.xml.bind:jaxb-impl,70,51,1,0,0,0,0,0,0,0
org.apereo.cas:cas-server-core-api-logout::org.springframework:spring-messaging,58,57,10,0.6875,0,0.6875,0,0,22,10
org.datanucleus:datanucleus-accessplatform-jdo-odf::org.datanucleus:datanucleus-core,94,157,32,0.25641,0.102564,0,8,9,21,16
net.serenity-bdd:serenity-junit::org.mockito:mockito-core,249,258,3,0.99,0.1,0,2,19,0,11
org.apereo.cas:cas-server-core::org.springframework:spring-test,53,61,11,0,0,1.4375,0,2,17,11
org.realityforge.arez:arez-annotations::org.eclipse.jetty:jetty-io,74,235,1,0,2,9.183333,0,0,0,0
com.typesafe.play:play-ws_2.11::com.ning:async-http-client,68,126,7,0,0.227273,3.909091,0,3,8,3
org.inferred:freebuilder::org.mockito:mockito-core,53,258,1,1,0,4,0,0,0,0
au.com.dius:pact-jvm-provider-specs2_2.11::org.specs2:specs2_2.11,122,62,1,0.604651,0.976744,0,0,0,0,0
com.proofpoint.platform:http-server::org.eclipse.jetty:jetty-util,50,206,2,0.307692,0.307692,0.846154,3,0,0,2
org.skinny-framework:skinny-velocity_2.11::org.mockito:mockito-core,64,258,11,0.728814,0.084746,0.254237,12,9,1,10
org.apereo.cas:cas-server-support-oauth-core::org.springframework:spring-jms,58,85,15,0.657143,0,0.628571,2,1,24,12
org.apereo.cas:cas-server-core-api-authentication::org.springframework:spring-webmvc,58,75,11,0.69697,0,0.666667,0,0,23,11
org.springframework.security:spring-security-openid::org.springframework:spring-core,50,83,5,0.916667,0,0.916667,2,0,5,4
org.webpieces:http2-parser::org.codehaus.groovy:groovy-all,68,150,1,0.348485,1.106061,5.69697,0,0,0,0
com.mysema.querydsl:querydsl-jdo::org.datanucleus:datanucleus-api-jdo,84,92,1,0.736842,0,6.157895,0,0,0,0
com.netflix.nebula:nebula-publishing-plugin::com.netflix.nebula:nebula-test,89,55,2,0.090909,0,0.545455,0,0,1,1
com.floragunn:search-guard-2::org.elasticsearch.test:framework,72,68,1,0,0,0,0,0,0,0
io.ratpack:ratpack-groovy-test::org.codehaus.groovy:groovy-all,50,150,11,0.08,0.36,1.68,0,12,11,11
org.http4k:http4k-server-jetty::org.eclipse.jetty.websocket:javax-websocket-server-impl,174,117,3,0,0,1.183673,0,0,13,7
org.grails:grails-datastore-gorm-hibernate4::org.hibernate:hibernate-ehcache,85,143,6,0.69863,0.383562,0.780822,0,23,23,19
org.apereo.cas:cas-server-support-ldap-core::com.fasterxml.jackson.core:jackson-databind,58,110,10,0,0.324324,1.675676,0,15,9,13
org.apereo.cas:cas-server-core-api-events::org.hibernate:hibernate-core,55,171,9,0,0.326531,2.632653,0,0,36,17
com.ning.billing:killbill-server::com.sun.jersey:jersey-server,85,58,1,0,3.30303,0,0,0,0,0
org.crazyyak.dev:yak-dev-jersey-spring::com.fasterxml.jackson.datatype:jackson-datatype-joda,66,89,2,0,1.103448,0.275862,0,4,0,2
org.apereo.cas:cas-server-support-throttle::org.springframework.data:spring-data-commons,57,69,9,0.509804,0.196078,3.686275,0,20,20,19
com.netflix.genie:genie-common::com.netflix.ribbon:ribbon-eureka,94,53,5,0.105263,0.421053,2.052632,6,2,2,5
org.neo4j.app:neo4j-server::org.eclipse.jetty:jetty-webapp,213,231,4,0,1.555556,5.833333,0,10,6,8
com.aol.microservices:micro-events::org.mockito:mockito-core,61,258,1,1,1,0,0,0,0,0
org.grails:grails-spring::org.codehaus.groovy:groovy-all,143,150,13,0,0.678571,0.214286,0,11,7,9
net.code-story:http::org.codehaus.groovy:groovy-all,147,150,2,0,0.7,0.033333,0,0,2,1
org.skinny-framework:skinny-orm_2.10::org.hibernate:hibernate-core,139,171,26,0.072464,0.065217,0.456522,24,13,36,33
com.fasterxml.jackson.jaxrs:jackson-jaxrs-xml-provider::com.sun.jersey:jersey-core,91,97,2,0,11.083333,0,0,2,0,1
org.apereo.cas:cas-server-core-api-monitor::org.springframework:spring-aop,58,81,17,0.48,0,1.14,0,0,41,20
org.apereo.cas:cas-server-support-saml-core::org.springframework:spring-core,58,83,2,0,0,0,0,0,1,0
org.grails:grails-datastore-gorm-neo4j::org.grails:grails-plugin-domain-class,68,114,10,0.030303,0.878788,2.393939,6,0,19,11
com.fasterxml.jackson.dataformat:jackson-dataformat-xml::com.fasterxml.jackson.core:jackson-databind,97,110,3,0,0.333333,0,0,2,0,1
com.jirvan:jidbc::org.testng:testng,53,69,1,0,1.962264,10,0,0,0,0
org.apereo.cas:cas-server-core-services::org.springframework:spring-jdbc,50,89,18,0.416667,0.020833,1.354167,0,2,38,19
org.apereo.cas:cas-server-core-api::com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,58,88,10,0,0.352941,1.764706,0,11,9,10
org.simpleflatmapper:sfm-sql2o::org.springframework:spring-jdbc,64,89,5,0,0.238095,1.238095,0,10,8,9
org.onosproject:onos-incubator-api::com.fasterxml.jackson.core:jackson-databind,96,110,5,0,0.784091,2.397727,0,41,13,28
net.bull.javamelody:javamelody-core::org.hibernate:hibernate-core,66,171,1,1.4375,0,1,0,0,0,0
org.apereo.cas:cas-server-core-api-webflow::org.springframework:spring-messaging,54,57,15,0.510204,0,1.326531,0,0,41,20
com.ning:async-http-client::io.netty:netty,126,70,17,0.953271,0.196262,0.420561,0,21,24,20
com.netflix.eureka:eureka-client::com.fasterxml.jackson.dataformat:jackson-dataformat-xml,147,97,4,0,1.688889,1.177778,0,34,0,17
com.datastax.cassandra:cassandra-driver-core::org.apache.cassandra:cassandra-thrift,68,173,2,0,0,1.5,0,0,1,0
org.codelibs:elasticsearch-cluster-runner::org.codelibs.elasticsearch.module:reindex,79,52,48,0.145455,0.072727,0,34,12,5,23
com.ibeetl:beetlsql::com.alibaba:druid,138,75,2,0,0.380597,8.873134,0,0,45,23
com.googlecode.libphonenumber:carrier::com.googlecode.libphonenumber:prefixmapper,94,98,94,0,0,0,0,93,0,45
org.apereo.cas:cas-server-core-api::org.mockito:mockito-core,58,258,12,0.384615,1.711538,0.019231,22,15,0,17
au.com.dius:pact-jvm-consumer_2.11::org.specs2:specs2_2.11,139,62,1,0.604651,0.976744,0,0,0,0,0
org.apereo.cas:cas-server-core::org.springframework:spring-aop,53,81,18,0.461538,0.019231,1.230769,0,2,41,21
org.hibernate:hibernate-entitymanager::org.hibernate:hibernate-core,153,171,1,0,0,0,0,0,0,0
org.springframework.amqp:spring-rabbit::com.rabbitmq:amqp-client,60,101,20,0.210526,0.649123,0.54386,27,22,2,22
com.linecorp.armeria:armeria::org.eclipse.jetty:jetty-server,112,231,3,0,0.863636,0.363636,0,0,9,5
org.apereo.cas:cas-server-support-oauth-core::org.hibernate:hibernate-entitymanager,58,153,14,0,0.345455,2.327273,0,5,38,21
org.elasticsearch:elasticsearch-lang-javascript::org.testng:testng,53,69,1,0,2.4,0,0,0,0,0
com.github.rhyskeepence:clairvoyance-core_2.11::org.scala-lang:scala-compiler,85,76,4,0,0.164706,0.435294,0,0,33,15
io.engineblock:eb-api::org.testng:testng,63,69,2,0,1.377049,7.737705,0,4,0,2
org.skinny-framework:skinny-orm_2.11::org.scalikejdbc:scalikejdbc-config_2.11,90,65,32,0.101124,0.011236,0,14,35,19,33
org.jasig.cas:cas-server::org.mockito:mockito-core,79,258,3,0.647059,0.264706,0.205882,0,4,2,3
org.xwiki.commons:xwiki-commons-groovy::org.codehaus.groovy:groovy-all,161,150,1,1,1,2,0,0,0,0
com.amazonaws:aws-java-sdk::com.fasterxml.jackson.core:jackson-databind,160,110,2,0,2.553191,3.978723,0,0,2,1
org.apereo.cas:cas-server-support-throttle::org.springframework:spring-test,57,61,9,0,0,1.413793,0,0,17,9
org.grails:grails-datastore-rest-client::org.grails:grails-async,66,87,9,0,1.018182,2.018182,0,14,29,21
org.apereo.cas:cas-server-core-services::org.hibernate:hibernate-core,50,171,11,0,0.291667,2.666667,0,4,30,17
org.realityforge.arez:arez-component::org.eclipse.jetty:jetty-servlet,73,235,1,0,2,9.285714,0,0,0,0
org.onosproject:onos-protocols-lisp-api::io.netty:netty,58,70,1,1,0,1,0,0,0,0
org.realityforge.replicant:replicant-client-common::org.eclipse.jetty:jetty-security,53,231,1,0,2,8.9,0,0,0,0
org.grails:grails-dependencies::org.codehaus.groovy:groovy-all,82,150,13,0.354839,0.741935,0.322581,11,7,5,11
net.serenity-bdd:serenity-report-resources::net.bytebuddy:byte-buddy,249,150,6,0,0.344262,4.213115,0,43,10,24
org.apereo.cas:cas-server-support-saml-idp-core::com.zaxxer:HikariCP,56,54,12,0.12963,0.277778,0.87037,15,21,4,19
com.liferay:com.liferay.gradle.plugins.js.transpiler::org.codehaus.groovy:groovy-all,78,150,1,0,1,1,0,0,0,0
org.springframework.integration:spring-integration-security::org.springframework:spring-aop,81,81,10,0.5,0.333333,0.444444,14,0,3,8
com.cedarsoftware:n-cube::com.cedarsoftware:java-util,280,63,38,0,0.010791,0.014388,0,159,5,84
org.mockito:mockito-core::net.bytebuddy:byte-buddy-agent,258,62,20,0,0.015873,1.047619,0,19,17,19
org.realityforge.arez:arez-annotations::org.eclipse.jetty:jetty-http,74,231,1,0,2,9.183333,0,0,0,0
org.apereo.cas:cas-server-core-monitor::org.springframework:spring-webmvc,58,75,18,0.46,0.02,1.24,0,2,40,20
org.javers:javers-persistence-mongo::org.codehaus.groovy:groovy-all,171,150,2,0.446809,1.446809,3.638298,0,5,0,3
org.apereo.cas:cas-server-support-oauth-core::org.springframework:spring-test,58,61,10,0,0,1.37931,0,2,15,10
org.apereo.cas:cas-server-support-oauth-core::org.springframework:spring-aop,58,81,11,0.6875,0,0.6875,0,0,21,10
org.apereo.cas:cas-server-support-throttle::com.fasterxml.jackson.module:jackson-module-kotlin,57,82,4,0,0,1.25,0,0,3,3
net.serenity-bdd:serenity-cucumber::net.serenity-bdd:serenity-screenplay,70,171,35,0,0.021277,0.106383,4,20,15,13
org.web3j:core::nl.jqno.equalsverifier:equalsverifier,50,58,1,0.125,2.1875,1,0,0,0,0
no.digipost:digipost-api-client-java::org.mockito:mockito-core,59,258,6,0,0.525,12,10,15,2,12
org.redisson:redisson::org.xerial.snappy:snappy-java,137,61,5,0,0,0.405405,0,0,28,14
org.datanucleus:datanucleus-accessplatform-jdo-mongodb::org.datanucleus:datanucleus-mongodb,95,67,16,0.316667,0.083333,0,14,12,15,16
org.lastaflute.doc:lasta-doc::org.lastaflute.job:lasta-job,52,82,9,0,0,0.423077,0,25,12,16
org.dspace:dspace-api::com.fasterxml.jackson.core:jackson-databind,52,110,1,0,0.8,6,0,0,0,0
org.apereo.cas:cas-server-core-api-validation::org.springframework:spring-context,58,74,12,0,0,0.676471,0,0,25,12
org.onosproject:onos-incubator-store::io.netty:netty,94,70,1,1,0,1,0,0,0,0
org.realityforge.arez:arez-component::org.eclipse.jetty:jetty-server,73,231,1,0,2,9.26,0,0,0,0
com.hazelcast:hazelcast-hibernate::com.hazelcast:hazelcast,108,152,1,0,1.25,5.75,0,0,0,0
org.quasar-analytics:quasar-ejson-internal_2.11::org.jboss.aesh:aesh,326,84,1,0,0,0,0,0,0,0
org.realityforge.arez:arez-component::org.eclipse.jetty:jetty-annotations,73,235,1,0,2,9.26,0,0,0,0
org.springframework:spring-oxm::com.sun.xml.bind:jaxb-impl,76,51,1,0,1,6,0,0,0,0
com.fasterxml.jackson.jaxrs:jackson-jaxrs-providers::com.sun.jersey:jersey-core,80,97,1,0,1.425926,0,0,0,0,0
org.hibernate:hibernate-tools::org.hibernate:hibernate-core,70,171,39,0.280702,0.736842,0.087719,25,19,12,25
org.apereo.cas:cas-server-support-themes::org.hibernate:hibernate-entitymanager,57,153,14,0,0.314815,2.111111,0,3,41,21
org.kuali.rice:rice-it-ken::org.eclipse.jetty:jetty-server,77,231,1,0,2,11.333333,0,0,0,0
org.apereo.cas:cas-server-support-ldap-core::org.springframework:spring-core,58,83,9,0,0.04,1.16,0,2,12,7
com.fasterxml.jackson.jaxrs:jackson-jaxrs-providers::org.eclipse.jetty:jetty-servlet,80,235,2,0.675,0.675,6.8375,34,0,0,17
net.serenity-bdd:serenity-sample-alternative-resources::org.jbehave:jbehave-core,246,144,2,1,0.967213,0,0,23,0,11
org.codelibs.fess:fess::org.dbflute.utflute:utflute-lastaflute,61,122,8,0,0.222222,2.62963,0,15,13,10
com.twilio.sdk:twilio-java-sdk::com.ning:async-http-client,70,126,1,0,1,2.9,0,0,0,0
com.epam.jdi:jdi-uitest-mobile::com.epam.jdi:jdi-matchers,53,112,2,0,0,2,0,0,2,1
io.fabric8:rest-utils::org.eclipse.jetty:jetty-io,201,235,1,0,2.39801,0.452736,0,0,0,0
org.http4s:http4s-client_2.10::org.scalaz:scalaz-scalacheck-binding_2.10,131,106,24,0,1.238462,0.715385,0,56,37,46
org.apereo.cas:cas-server-core-api-protocol::com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,58,93,3,0,0,0.8,0,0,4,2
org.apereo.cas:cas-server-support-saml-idp-core::org.springframework:spring-webmvc,56,75,11,0.69697,0,0.666667,0,0,23,11
org.apereo.cas:cas-server-support-throttle::org.springframework:spring-context-support,57,84,21,0.5,0.018519,1.12963,2,2,44,22
org.apereo.cas:cas-server-support-ldap::com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,58,88,15,0,0.294118,2.215686,0,26,13,22
org.apereo.cas:cas-server-core-api-webflow::org.springframework:spring-context,54,74,16,0,0,1.32,0,0,43,21
de.otto.edison:jobs::org.testng:testng,52,69,1,0,7,0,0,0,0,0
com.netflix.nebula:gradle-lint-plugin::com.netflix.nebula:nebula-test,60,55,1,1,0,0,0,0,0,0
com.baomidou:mybatis-plus::org.springframework:spring-webmvc,65,75,4,0.055556,0.5,2.296296,0,12,6,9
com.netflix.spectator:spectator-api::nl.jqno.equalsverifier:equalsverifier,85,58,2,0,0.777778,0,0,2,0,1
org.dasein:dasein-cloud-aws::com.fasterxml.jackson.core:jackson-databind,101,110,2,0,1.333333,2.833333,0,1,0,1
org.atmosphere:atmosphere-runtime-native::org.atmosphere:atmosphere-compat-tomcat7,96,53,3,0,0.021053,0.126316,2,0,21,11
com.themodernway:themodernway-server-core::org.springframework:spring-tx,78,84,11,0.441558,0,0,30,0,33,30
com.liferay:com.liferay.gradle.plugins::com.liferay:com.liferay.gradle.plugins.source.formatter,158,342,42,0,0,0.406897,41,0,36,38
org.codehaus.cargo:cargo-extensions::com.sun.xml.bind:jaxb-impl,52,51,1,0,1,0,0,0,0,0
org.apereo.cas:cas-server-core-api::org.springframework:spring-context-support,58,84,15,0.657143,0,0.657143,2,1,23,12
org.springframework.integration:spring-integration-jms::org.springframework:spring-tx,92,84,10,0.5625,0.3125,0.4375,10,0,4,6
org.onosproject:onos-protocols-ovsdb-rfc::com.fasterxml.jackson.core:jackson-databind,57,110,5,0,1.053571,2.696429,0,23,13,17
top.coos:coos.core::com.alibaba:druid,57,75,1,0,0,0,0,0,0,0
org.specs2:specs2-common_2.11::org.scalaz:scalaz-concurrent_2.11,231,81,16,0,0.684524,0.434524,0,77,54,64
io.ratpack:ratpack-core::com.fasterxml.jackson.datatype:jackson-datatype-guava,52,89,7,0,0.8,2.142857,0,17,1,9
org.elasticsearch:elasticsearch-yarn::org.elasticsearch:elasticsearch,62,225,15,0.529412,0.058824,0,10,2,3,5
org.apereo.cas:cas-server-support-ldap-core::org.springframework:spring-orm,58,81,18,0.470588,0.019608,1.156863,0,2,40,21
org.apereo.cas:cas-server-core-api::org.hibernate:hibernate-hikaricp,58,76,8,0,0.545455,1.181818,0,2,10,5
com.blackducksoftware.integration:hub-common::org.codehaus.groovy:groovy-all,147,150,3,0.484848,1.727273,1.075758,0,0,26,13
org.scalikejdbc:scalikejdbc-interpolation-macro_2.11::org.scala-lang:scala-compiler,65,76,8,0,0.633333,0.166667,0,0,47,20
org.kevoree.tools:org.kevoree.tools.ui.editor::org.mapdb:mapdb,75,58,1,0,0,1.625,0,0,0,0
org.apereo.cas:cas-server-core-api-protocol::org.springframework:spring-web,58,66,11,0,0,1.3,0,0,17,9
org.grails:grails-datastore-gorm-hibernate::org.grails:grails-core,58,116,5,0,0,0,0,0,7,2
org.apache.cxf:cxf-bundle::org.springframework:spring-aop,106,81,1,0,0,0,0,0,0,0
com.netflix.conductor:conductor-core::com.netflix.spectator:spectator-api,100,85,2,0,12.071429,0,0,32,0,16
org.apereo.cas:cas-server-core-api-services::org.hibernate:hibernate-hikaricp,58,76,9,0,0.6,1.2,0,2,11,6
org.apereo.cas:cas-server-core-api-web::org.mockito:mockito-core,58,258,12,0.363636,1.836364,0.018182,22,19,0,20
com.gensetgo:RMS::org.datanucleus:datanucleus-api-jpa,101,113,1,2,2,1,0,0,0,0
com.gensetgo:RMS::org.datanucleus:datanucleus-api-jdo,101,92,1,2,1,1,0,0,0,0
com.baomidou:mybatis-plus::com.alibaba:fastjson,65,108,2,0,0,1.666667,0,0,2,1
org.springframework.security:spring-security-openid::org.springframework:spring-aop,50,81,11,0.578947,0,0.578947,12,0,4,8
com.aol.microservices:micro-core::com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,61,93,2,0,0.888889,2.407407,0,11,0,6
com.datastax.spark:spark-cassandra-connector-embedded_2.10::org.apache.cassandra:cassandra-all,71,186,10,0.228571,2.928571,3.471429,28,6,20,23
net.sf.mpxj:mpxj::org.apache.poi:poi,69,51,6,0,0.811594,0.028986,0,29,0,14
com.netflix.evcache:evcache-client::com.netflix.archaius:archaius2-core,144,71,20,0,0,0,0,83,35,46
com.nimbusds:common::com.nimbusds:oauth2-oidc-sdk,86,170,15,0,0,0.111111,7,9,0,10
org.specs2:specs2-junit_2.10::org.mockito:mockito-core,160,258,2,0.87037,1.009259,0,14,0,0,7
org.apereo.cas:cas-server-core-authentication::org.mockito:mockito-core,54,258,9,0.413043,1.869565,0.021739,22,9,0,14
org.apereo.cas:cas-server-core-logout::org.springframework:spring-context,58,74,12,0,0,0.6,0,0,23,12
org.apereo.cas:cas-server-support-jdbc::org.springframework:spring-jdbc,58,89,22,0.490909,0.018182,1,2,2,44,23
org.apereo.cas:cas-server-support-ldap-core::com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,58,88,10,0,0.305556,1.722222,0,15,9,13
org.grails:grails-plugin-url-mappings::org.codehaus.groovy:groovy,114,163,11,0.034483,0.258621,0.310345,0,0,35,16
io.fabric8.elasticsearch:openshift-elasticsearch-plugin::org.mockito:mockito-core,57,258,1,1,1,1,0,0,0,0
org.apereo.cas:cas-server-core-api-protocol::com.github.fakemongo:fongo,58,51,9,0,0.529412,0.882353,0,33,10,22
com.hazelcast:hazelcast::org.jruby:jruby-complete,152,94,1,1,0,4.117647,0,0,0,0
org.http4s:http4s-core_2.12::org.scala-lang:scala-compiler,52,76,4,0,0.571429,0.047619,0,0,19,9
com.netflix.nebula:nebula-plugin-plugin::com.netflix.nebula:nebula-publishing-plugin,108,89,18,0.028169,0.084507,0.112676,37,14,1,23
org.skinny-framework:skinny-http-client_2.10::org.eclipse.jetty:jetty-server,96,231,21,0,0.770833,0.885417,0,14,39,24
org.bonitasoft.engine:bonita-server::org.springframework:spring-jdbc,61,89,2,0.315789,0.421053,4.631579,0,13,0,7
org.scalikejdbc:scalikejdbc-core_2.11::org.hibernate:hibernate-core,64,171,21,0.079365,0.174603,0.412698,25,6,23,23
au.com.dius:pact-jvm-consumer-groovy_2.10::org.mockito:mockito-core,65,258,2,1,0.774194,0,0,11,0,6
org.apereo.cas:cas-server-core-monitor::com.zaxxer:HikariCP,58,54,10,0.194444,0.111111,1.194444,11,3,7,11
org.onosproject:onos-rest::io.netty:netty,55,70,1,1,0,1,0,0,0,0
org.springframework.integration:spring-integration-test::org.springframework:spring-test,80,61,31,0.191489,0.319149,0.319149,17,27,2,20
au.com.dius:pact-jvm-provider-lein_2.11::org.mockito:mockito-core,70,258,2,1,0.507463,0,0,20,0,10
org.realityforge.arez:arez-browser-extras::org.eclipse.jetty:jetty-servlets,50,235,1,0,2,8.692308,0,0,0,0
org.apereo.cas:cas-server-support-validation::org.springframework:spring-webmvc,57,75,18,0.5,0.020833,1.208333,0,2,37,18
com.mebigfatguy.fb-contrib:fb-contrib::org.mockito:mockito-core,51,258,1,0,5.411765,0,0,0,0,0
com.spotify:docker-client::com.sun.jersey:jersey-core,145,97,1,0,0,0,0,0,0,0
com.ning.billing:killbill-osgi-bundles-jruby::org.testng:testng,69,69,1,0,5,0,0,0,0,0
org.http4s:http4s-core_2.12::org.specs2:specs2-core_2.12,52,54,1,0.153846,0.307692,2.423077,0,0,0,0
org.apereo.cas:cas-server-core-util::org.springframework:spring-jdbc,55,89,16,0.605263,0.026316,0.552632,0,2,28,14
ru.yandex.qatools.allure:allure-testng-adaptor::org.testng:testng,59,69,1,0,0.491525,7.338983,0,0,0,0
com.orientechnologies:orientdb-etl::com.orientechnologies:orientdb-enterprise,53,87,1,0,0,3,0,0,0,0
org.springframework.security:spring-security-openid::org.springframework:spring-test,50,61,5,0.916667,0,0.916667,2,0,5,4
org.gedcomx:gedcomx-rt-support::com.sun.xml.bind:jaxb-impl,90,51,1,0,0,2,0,0,0,0
org.grails:grails-datastore-gorm-test::org.grails:grails-bootstrap,105,88,12,0.434783,0.26087,0.065217,27,0,10,18
org.apereo.cas:cas-server-support-saml::org.springframework.integration:spring-integration-amqp,58,74,2,0,0.333333,0.666667,0,0,1,0
no.digipost:digipost-api-client-java::com.sun.jersey:jersey-core,59,97,1,0,0,0,0,0,0,0
ch.ralscha:extdirectspring::org.springframework:spring-aop,50,81,4,0,0,0.3,0,0,3,0
org.apereo.cas:cas-server-support-ldap-core::org.springframework:spring-web,58,66,12,0,0.030303,1.212121,0,2,18,11
org.apereo.cas:cas-server-support-oidc-core::org.springframework:spring-messaging,56,57,16,0.510204,0,1.285714,0,0,40,20
org.apereo.cas:cas-server-core-services::org.springframework:spring-context-support,50,84,18,0.416667,0.020833,1.354167,0,2,38,19
org.apereo.cas:cas-server-core-api-util::com.fasterxml.jackson.module:jackson-module-kotlin,58,82,4,0,0,1.25,0,0,3,3
org.apereo.cas:cas-server-core-api-validation::org.springframework.data:spring-data-commons,58,69,4,0.69697,0,4.181818,0,0,16,8
