numVersA,numVersB,numDistinctDepDecs,avgMajorVersBehind,avgMinorVersBehind,avgMicroVersBehind,numMajorDecChanges,numMinorDecChanges,numMicroDecChanges,numBackwardsDecChanges,
org.kitchen-eel:json-schema-validator::org.testng:testng,52,69,3,0,2.730769,0.019231,0,18,1,10
org.grails:grails-datastore-gorm-hibernate4::org.grails:grails-plugin-domain-class,85,114,5,0,0,0,0,0,7,2
com.netflix.nebula:gradle-resolution-rules-plugin::com.fasterxml.jackson.datatype:jackson-datatype-joda,63,89,1,0,0.8,1.6,0,0,0,0
org.apache.cxf:cxf-bundle-minimal::org.eclipse.jetty:jetty-continuation,99,110,12,1.295775,0.774648,0.380282,16,10,10,17
net.serenity-bdd:serenity-sample-alternative-resources::com.sun.xml.bind:jaxb-impl,246,51,1,0,0,0,0,0,0,0
org.apereo.cas:cas-server-core-api-services::org.hibernate:hibernate-entitymanager,58,153,10,0,0.459459,1.216216,0,2,24,12
org.springframework.integration:spring-integration-core::com.fasterxml.jackson.core:jackson-databind,85,110,7,0,1.677966,2.559322,0,57,0,26
com.yahoo.elide:elide-datastore-hibernate5::com.fasterxml.jackson.datatype:jackson-datatype-hibernate5,113,50,3,0,1.107143,2.4375,0,19,0,10
com.orientechnologies:orientdb-distributed::com.hazelcast:hazelcast-cloud,123,50,5,0,0,1.548387,0,2,17,11
org.skinny-framework:skinny-thymeleaf_2.10::org.mockito:mockito-core,139,258,10,0.75,0.089286,0.267857,10,6,1,8
com.typesafe.akka:akka-protobuf_2.11::org.openjdk.jmh:jmh-generator-bytecode,57,75,1,0,0,2,0,0,0,0
org.http4s:http4s-servlet_2.11::org.specs2:specs2_2.11,159,62,1,0,0,2,0,0,0,0
com.outworkers:phantom-dsl_2.10::com.datastax.cassandra:cassandra-driver-core,68,68,2,0,0.051282,1.666667,0,15,0,8
org.grails:grails-plugin-interceptors::org.codehaus.groovy:groovy,58,163,11,0.035714,0.267857,0.321429,0,0,41,19
com.applitools:eyes-selenium-java::com.fasterxml.jackson.core:jackson-databind,81,110,1,0,1.571429,2,0,0,0,0
top.ibase4j:ibase4j-common::org.springframework:spring-webmvc,53,75,1,0,0,0.823529,0,0,0,0
ai.h2o:h2o-core::org.eclipse.jetty:jetty-plus,147,231,1,1,0.704225,4.098592,0,0,0,0
org.grails:grails-spring::org.codehaus.groovy:groovy,143,163,11,0.034483,0.258621,0.310345,0,0,35,16
org.molgenis:molgenis::org.testng:testng,65,69,1,0,0.872727,9.163636,0,0,0,0
com.hubspot.jinjava:jinjava::com.fasterxml.jackson.core:jackson-databind,56,110,1,0,2,0,0,0,0,0
org.apereo.cas:cas-server-core-authentication::org.springframework:spring-core,54,83,9,0,0.04,1.32,0,2,12,7
com.orientechnologies:orientdb-lucene::org.jruby:jruby-complete,106,94,1,0,0,1,0,0,0,0
org.apereo.cas:cas-server-support-jdbc-drivers::org.springframework:spring-aop,56,81,11,0.709677,0,0.677419,0,0,21,10
org.grails:grails-plugin-mimetypes::org.codehaus.groovy:groovy,114,163,11,0.034483,0.258621,0.310345,0,0,35,16
com.yahoo.elide:elide-datastore-hibernate::com.fasterxml.jackson.core:jackson-databind,111,110,2,0,1.231481,2.731481,0,18,0,9
org.mobicents.resources:mgcp-library::org.mobicents.media.client:mgcp-driver,95,63,1,1.263158,0,2,0,0,0,0
org.springframework:spring-test::org.codehaus.groovy:groovy-all,61,150,14,0,0.419355,0.032258,0,17,10,14
com.themodernway:themodernway-server-core::com.fasterxml.jackson.core:jackson-databind,78,110,10,0,0.207792,0.038961,0,28,34,31
com.ning:async-http-client::org.eclipse.jetty:jetty-security,126,231,3,0.942623,0.204918,11.942623,21,0,3,12
org.apereo.cas:cas-server-support-jdbc-drivers::org.springframework:spring-webmvc,56,75,11,0.733333,0,0.666667,0,0,21,10
org.apereo.cas:cas-server-support-oidc-core::org.springframework:spring-context-support,56,84,20,0.509434,0,1.207547,2,1,43,22
org.inferred:freebuilder::com.fasterxml.jackson.datatype:jackson-datatype-guava,53,89,1,0,1.216216,4.459459,0,0,0,0
org.jumpmind.symmetric:symmetric::org.springframework:spring-jms,82,85,1,0,0,0,0,0,0,0
org.apereo.cas:cas-server-core::org.springframework:spring-context-support,53,84,18,0.461538,0.019231,1.25,0,2,41,21
de.caluga:morphium::org.openjdk.jmh:jmh-generator-annprocess,88,75,1,0,17.304348,1,0,0,0,0
org.grails:grails-core::org.springframework:spring-context,116,74,38,0.075269,0.290323,0.311828,10,22,38,33
net.thucydides:thucydides-core::org.springframework:spring-context,143,74,1,0.533333,0,3.622222,0,0,0,0
com.netflix.evcache:evcache-client::com.netflix.eureka:eureka-client,144,147,19,0,0.673611,0,0,88,24,46
com.lihaoyi:ammonite-compiler_2.12.3::org.scala-lang:scala-compiler,67,76,1,0,1,1.149254,0,0,0,0
org.apereo.cas:cas-server-core-util::org.springframework:spring-context-support,55,84,17,0.615385,0.025641,0.538462,0,2,29,15
org.apereo.cas:cas-server-core-authentication::com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,54,88,7,0,0.4,1.733333,0,11,4,8
org.apereo.cas:cas-server-core-webflow::org.springframework:spring-tx,58,84,21,0.423077,0.019231,1.211538,2,2,40,20
org.jboss.weld.examples.se:weld-se-groovy-numberguess::org.codehaus.groovy:groovy-all,52,150,1,0.076923,1.307692,1.923077,0,0,0,0
com.ibeetl:beetl::com.alibaba:fastjson,57,108,1,0,0,0,0,0,0,0
org.apereo.cas:cas-server-core-api-protocol::com.fasterxml.jackson.core:jackson-databind,58,110,10,0,0.324324,1.675676,0,15,9,13
org.webpieces:http-templating::org.codehaus.groovy:groovy-all,80,150,1,0.253165,0.860759,4.670886,0,0,0,0
net.serenity-bdd:serenity-screenplay-webdriver::org.mockito:mockito-core,157,258,1,1,0,0,0,0,0,0
