Normalised (Each row sums to 1),FORWARDS_MAJOR,FORWARDS_MINOR,FORWARDS_MICRO,NO_CHANGE,BACKWARD_MICRO,BACKWARD_MINOR,BACKWARD_MAJOR,Total
Major Lag,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,10
Major Minor Lag,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2
Major Micro Lag,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,5
Major Minor Micro Lag,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
Minor Lag,0.0000,0.0070,0.0211,0.9718,0.0000,0.0000,0.0000,142
Minor Micro Lag,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,79
Micro Lag,0.0000,0.0000,0.0891,0.9109,0.0000,0.0000,0.0000,808
No Lag,0.0000,0.0173,0.4016,0.5811,0.0000,0.0000,0.0000,3175
All Types,0.0000,0.0133,0.3198,0.6669,0.0000,0.0000,0.0000,4221
