Raw Values,FORWARDS_MAJOR,FORWARDS_MINOR,FORWARDS_MICRO,NO_CHANGE,BACKWARD_MICRO,BACKWARD_MINOR,BACKWARD_MAJOR,Total
Major Lag,24.0,183.0,266.0,5512.0,1.0,0.0,22.0,6008
Major Minor Lag,4.0,26.0,118.0,4942.0,0.0,0.0,1.0,5091
Major Micro Lag,18.0,98.0,239.0,8847.0,33.0,0.0,10.0,9245
Major Minor Micro Lag,3.0,61.0,52.0,6494.0,3.0,9.0,14.0,6636
Minor Lag,50.0,140.0,466.0,15053.0,0.0,19.0,0.0,15728
Minor Micro Lag,73.0,185.0,555.0,13508.0,11.0,23.0,0.0,14355
Micro Lag,62.0,353.0,196.0,18486.0,126.0,1.0,0.0,19224
No Lag,287.0,1314.0,1632.0,37976.0,2.0,1.0,2.0,41214
All Types,521.0,2360.0,3524.0,110818.0,176.0,53.0,49.0,117501
